date,from_currency,to_currency,exchange
16/01/2015,CAD,CAD,1
16/01/2015,CAD,EUR,0.71705
16/01/2015,CAD,GBP,0.54761
16/01/2015,CAD,USD,0.83092
16/01/2015,EUR,AUD,1.4113
16/01/2015,EUR,CAD,1.3946
16/01/2015,EUR,EUR,1
16/01/2015,EUR,GBP,0.7637
16/01/2015,EUR,USD,1.1588
16/01/2015,GBP,AUD,1.84798
16/01/2015,GBP,CAD,1.82611
16/01/2015,GBP,EUR,1.30941
16/01/2015,GBP,GBP,1
16/01/2015,GBP,USD,1.51735
16/01/2015,USD,AUD,1.2179
16/01/2015,USD,CAD,1.20349
16/01/2015,USD,EUR,0.86296
16/01/2015,USD,GBP,0.65904
16/01/2015,USD,USD,1
17/01/2015,AUD,AUD,1
17/01/2015,AUD,CAD,0.98817
17/01/2015,AUD,EUR,0.70857
17/01/2015,AUD,GBP,0.54113
17/01/2015,AUD,USD,0.82109
17/01/2015,CAD,AUD,1.01197
17/01/2015,CAD,CAD,1
17/01/2015,CAD,EUR,0.71705
17/01/2015,CAD,GBP,0.54761
17/01/2015,CAD,USD,0.83092
17/01/2015,EUR,AUD,1.4113
17/01/2015,EUR,CAD,1.3946
17/01/2015,EUR,EUR,1
17/01/2015,EUR,GBP,0.7637
17/01/2015,EUR,USD,1.1588
17/01/2015,GBP,AUD,1.84798
17/01/2015,GBP,CAD,1.82611
17/01/2015,GBP,EUR,1.30941
17/01/2015,GBP,GBP,1
17/01/2015,GBP,USD,1.51735
17/01/2015,USD,AUD,1.2179
17/01/2015,USD,CAD,1.20349
17/01/2015,USD,EUR,0.86296
17/01/2015,USD,GBP,0.65904
17/01/2015,USD,USD,1
18/01/2015,AUD,AUD,1
18/01/2015,AUD,CAD,0.98817
18/01/2015,AUD,EUR,0.70857
18/01/2015,AUD,GBP,0.54113
18/01/2015,AUD,USD,0.82109
18/01/2015,CAD,AUD,1.01197
18/01/2015,CAD,CAD,1
18/01/2015,CAD,EUR,0.71705
18/01/2015,CAD,GBP,0.54761
18/01/2015,CAD,USD,0.83092
18/01/2015,EUR,AUD,1.4113
18/01/2015,EUR,CAD,1.3946
18/01/2015,EUR,EUR,1
18/01/2015,EUR,GBP,0.7637
18/01/2015,EUR,USD,1.1588
18/01/2015,GBP,AUD,1.84798
18/01/2015,GBP,CAD,1.82611
18/01/2015,GBP,EUR,1.30941
18/01/2015,GBP,GBP,1
18/01/2015,GBP,USD,1.51735
18/01/2015,USD,AUD,1.2179
18/01/2015,USD,CAD,1.20349
18/01/2015,USD,EUR,0.86296
18/01/2015,USD,GBP,0.65904
18/01/2015,USD,USD,1
19/01/2015,AUD,AUD,1
19/01/2015,AUD,CAD,0.98387
19/01/2015,AUD,EUR,0.70751
19/01/2015,AUD,GBP,0.54224
19/01/2015,AUD,USD,0.82107
19/01/2015,CAD,AUD,1.0164
19/01/2015,CAD,CAD,1
19/01/2015,CAD,EUR,0.71911
19/01/2015,CAD,GBP,0.55113
19/01/2015,CAD,USD,0.83453
19/01/2015,EUR,AUD,1.4134
19/01/2015,EUR,CAD,1.3906
19/01/2015,EUR,EUR,1
19/01/2015,EUR,GBP,0.7664
19/01/2015,EUR,USD,1.1605
19/01/2015,GBP,AUD,1.84421
19/01/2015,GBP,CAD,1.81446
